,YearsCode,ConvertedCompYearly
828,3,74970.0
829,4,385344.0
830,15,25980.0
831,12,
832,10,
833,8,52942.0
834,3,9729.0
836,15,
837,10,40212.0
838,10,
839,7,85000.0
840,8,8652.0
841,4,
842,6,45401.0
844,2,
846,16,120000.0
847,18,41232.0
848,13,155000.0
849,15,53388.0
850,10,
851,9,54049.0
852,25,57720.0
853,11,
855,18,
856,15,54480.0
857,15,114000.0
858,30,
859,15,34584.0
860,7,
861,24,36804.0
862,8,
863,12,51887.0
864,11,
866,5,
867,15,77831.0
868,3,
869,6,32676.0
870,10,10728.0
871,10,
872,3,34428.0
873,29,81074.0
874,15,115000.0
875,17,55211.0
876,12,30216.0
877,26,206815.0
878,11,
879,2,
880,36,91883.0
881,2,19452.0
882,8,
883,1,
884,5,
886,14,200000.0
887,7,
888,23,142000.0
889,10,125000.0
890,9,84019.0
891,30,60972.0
892,5,
893,4,
894,10,31128.0
895,4,
896,8,60744.0
897,6,51888.0
898,18,
899,7,3504.0
900,27,51960.0
901,30,
902,2,
903,8,
904,12,
905,5,
906,5,16475.0
907,6,41040.0
908,6,
909,30,175000.0
910,19,49941.0
911,15,18848.0
912,14,84312.0
913,12,81074.0
914,15,68102.0
915,9,17796.0
916,35,110000.0
917,25,
918,22,126000.0
919,17,28320.0
920,5,
921,12,24948.0
922,4,
923,10,5585.0
924,6,
925,9,908028.0
926,30,172957.0
927,3,
928,6,35676.0
930,8,
931,20,6324.0
932,5,
933,35,
934,7,
935,9,21641.0
936,12,
937,11,72000.0
938,8,
939,13,
940,9,
941,5,27900.0
942,31,175000.0
943,10,291865.0
944,5,8042.0
945,10,175112.0
946,19,41568.0
947,20,190000.0
948,13,33552.0
949,10,550000.0
950,7,81074.0
951,17,
952,8,38916.0
953,42,220000.0
954,3,
955,6,45401.0
956,10,12564.0
957,2,
958,10,45300.0
959,2,
960,9,
961,5,8472.0
962,4,
963,30,153000.0
964,6,
965,3,
966,1,
967,40,129718.0
969,30,
970,10,75000.0
971,6,11169.0
972,7,9720.0
973,30,
974,10,30716.0
975,35,81074.0
976,15,54000.0
977,18,
978,20,
979,10,
980,28,71340.0
981,30,215000.0
982,10,
983,30,
984,20,13962.0
985,20,62352.0
987,6,
988,40,97288.0
989,5,48644.0
992,7,51888.0
993,46,
994,4,
995,8,
996,10,64224.0
997,21,56211.0
998,15,
999,8,
1000,20,75631.0
1001,10,36024.0
1002,3,
1003,11,55130.0
1004,9,
1005,12,37834.0
1006,6,
1007,15,
1008,12,68068.0
1009,3,
1010,15,200000.0
1011,32,65922.0
1012,10,36972.0
1013,4,
1014,10,
1015,6,11580.0
1016,23,203000.0
1017,28,
1018,6,8508.0
1019,5,3828.0
1020,5,
1021,13,32424.0
1022,23,61608.0
1023,6,41000.0
1024,38,79993.0
1025,12,698004.0
1026,5,
1027,4,
1028,23,100000.0
1029,10,80325.0
1030,20,150000.0
1031,8,
1032,16,71446.0
1033,5,
1034,25,58373.0
1035,13,47184.0
1036,15,18984.0
1037,32,64859.0
1038,7,28536.0
1039,11,82750.0
1040,5,
1041,6,
1042,3,23352.0
1043,6,71093.0
1044,9,
1045,3,
1047,18,88208.0
1048,13,46533.0
1049,18,59544.0
1050,8,33600.0
1051,15,39456.0
1052,20,16860.0
1053,17,175116.0
1055,15,33408.0
1056,15,
1057,10,110000.0
1058,6,
1059,6,
1060,10,300000.0
1061,6,
1062,23,24000.0
1063,10,
1065,5,5585.0
1066,21,75000.0
1067,2,9792.0
1068,20,200000.0
1069,2,
1070,8,144000.0
1071,4,24000.0
1072,25,91883.0
1073,10,7679.0
1074,36,
1075,7,
1076,38,
1077,43,83000.0
1080,13,75636.0
1081,20,
1082,8,16980.0
1083,1,100000.0
1085,38,37752.0
1086,10,
1087,15,
1088,20,103408.0
1089,14,82848.0
1090,4,
1091,6,13962.0
1092,4,29088.0
1093,10,
1094,2,
1096,7,55200.0
1097,4,
1098,3,
1099,15,21204.0
1100,5,
1101,47,200000.0
1102,9,22308.0
1103,13,
1104,31,83236.0
1105,1,
1106,5,
1107,11,55944.0
1108,5,
1109,11,
1110,2,
1111,40,38778.0
1112,10,87896.0
1113,10,80000.0
1114,11,
1115,25,38916.0
1116,22,175119.0
1117,5,
1118,35,193889.0
1119,6,
1120,5,
1121,7,27240.0
1122,8,
1123,17,33852.0
1124,7,36000.0
1125,5,166000.0
1126,18,64859.0
1127,17,220000.0
1129,25,89189.0
1130,21,
1131,33,78372.0
1132,12,51887.0
1133,8,60535.0
1134,14,39144.0
1135,4,
1136,20,52942.0
1137,9,
1138,32,90000.0
1139,15,82726.0
1140,19,
1141,10,80008.0
1142,3,65000.0
1143,15,
1144,12,22584.0
1145,2,8436.0
1146,6,5832.0
1147,16,33508.0
1148,9,
1149,10,
1150,11,1068000.0
1151,40,51888.0
1152,10,160000.0
1153,23,75669.0
1154,13,48644.0
1156,3,
1157,6,
1158,16,81074.0
1159,19,56211.0
1160,7,9960.0
1161,20,200000.0
1162,6,
1163,5,12972.0
1164,7,1944.0
1165,6,66556.0
1166,10,
1167,25,41796.0
1168,28,120000.0
1169,5,33732.0
1170,4,
1171,7,9072.0
1172,7,6732.0
1173,42,36000.0
1174,12,1104.0
1175,7,
1176,25,20940.0
1177,19,86478.0
1178,42,160000.0
1179,5,45528.0
1180,31,63120.0
1182,38,
1183,9,
1184,35,58373.0
1185,8,
1186,10,12324.0
1187,25,105000.0
1188,12,83200.0
1189,10,81000.0
1190,26,64860.0
1191,10,106000.0
1192,30,
1193,9,125000.0
1194,16,70000.0
1195,13,32028.0
1197,10,11304.0
1198,12,
1199,41,85908.0
1200,37,19458.0
1201,17,100000.0
1202,4,
1203,35,51704.0
1204,40,
1205,12,60427.0
1206,5,
1207,14,
1208,50,250000.0
1209,20,200000.0
1210,6,60505.0
1211,5,18326.0
1212,4,
1214,20,108098.0
1215,15,21996.0
1216,8,142501.0
1217,8,
1218,10,129259.0
1219,12,14400.0
1220,12,93000.0
1221,38,
1224,7,
1225,20,77250.0
1226,2,
1227,42,
1228,12,
1229,4,9540.0
1230,23,64859.0
1231,3,
1232,2,
1233,5,
1234,7,1200.0
1235,6,840000.0
1236,8,30916.0
1237,7,2856.0
1238,2,
1239,35,
1240,6,
1241,20,87638.0
1242,8,
1243,2,
1244,3,26527.0
1245,2,
1246,4,
1247,40,
1248,40,
1249,7,20682.0
1250,23,
1251,14,129600.0
1252,38,75669.0
1253,40,116000.0
1254,6,104000.0
1255,7,
1257,2,
1258,7,36193.0
1259,25,39492.0
1260,13,2508.0
1261,9,2508.0
1262,8,
1263,15,7000.0
1264,6,17500.0
1265,4,11400.0
1266,6,
1267,5,
1268,5,
1269,9,
1270,5,16860.0
1271,9,
1272,2,
1273,7,5864.0
1274,5,18160.0
1275,37,68102.0
1276,13,47563.0
1277,12,64630.0
1279,10,
1280,7,69121.0
1281,36,47563.0
1282,15,118919.0
1283,26,
1284,7,
1285,7,
1286,10,
1287,11,250000.0
1288,3,
1289,13,57240.0
1290,20,216.0
1291,19,24972.0
1292,12,155111.0
1293,14,30018.0
1294,5,
1295,11,475.0
1296,9,
1297,6,583728.0
1298,6,
1300,3,
1301,30,
1302,8,
1303,12,
1304,11,44320.0
1305,35,
1306,10,65000.0
1307,23,60505.0
1308,6,88640.0
1309,8,7200.0
1310,5,3770.0
1311,41,160000.0
1312,8,57312.0
1313,7,
1314,2,
1315,4,68000.0
1316,35,144000.0
1317,6,60000.0
1318,5,15682.0
1319,7,
1320,3,81074.0
1321,38,49119.0
1322,5,
1323,17,33732.0
1324,11,66000.0
1325,4,
1326,15,14016.0
1327,4,63036.0
1328,1,
1329,7,
1330,7,25944.0
1331,13,16080.0
1333,10,90000.0
1334,28,
1335,15,111694.0
1336,6,65000.0
1337,3,60000.0
1338,15,32736.0
1339,30,150000.0
1340,3,
1341,6,
1342,7,60972.0
1343,16,23735.0
1344,7,
1345,12,
1347,16,62481.0
1348,9,24540.0
1349,6,31400.0
1350,37,150000.0
1351,15,
1352,2,
1353,5,
1354,35,
1355,6,5868.0
1356,12,51887.0
1357,8,
1358,5,
1359,10,29320.0
1360,13,105000.0
1361,7,
1362,15,67550.0
1363,12,
1364,12,44678.0
1365,20,134430.0
1366,5,5496.0
1367,6,
1368,8,
1369,6,
1370,11,
1371,21,71340.0
1372,39,41077.0
1373,10,70000.0
1374,25,
1376,25,59454.0
1377,4,15672.0
1379,38,45401.0
1380,9,
1381,5,
1382,12,34904.0
1383,8,172950.0
1384,16,150000.0
1385,23,
1386,3,
1387,10,
1388,2,11328.0
1389,7,47826.0
1390,3,
1391,25,64630.0
1393,12,80000.0
1394,29,84316.0
1395,3,
1396,2,
1397,35,81074.0
1398,5,6108.0
1399,4,
1400,13,
1401,47,162147.0
1402,15,162147.0
1404,8,
1405,18,
1406,7,
1407,7,
1408,3,
1409,12,41568.0
1411,12,
1412,16,
1413,3,23400.0
1414,26,95000.0
1415,13,57292.0
1416,5,7679.0
1420,5,9862.0
1421,8,38915.0
1422,10,16035.0
1423,2,
1424,10,73507.0
1425,5,
1426,36,51372.0
1427,6,55967.0
1428,2,8124.0
1429,18,59676.0
1430,10,40248.0
1431,15,
1432,23,59459.0
1433,13,
1434,12,
1435,42,54070.0
1436,2,
1437,20,
1438,7,
1439,13,16284.0
1440,15,250000.0
1441,4,
1442,30,
1443,2,
1444,21,47532.0
1445,8,64860.0
1446,15,155000.0
1447,6,
1448,5,
1449,8,32429.0
1450,18,
1451,10,29148.0
1453,18,270000.0
1454,12,365000.0
1455,30,
1456,5,
1457,24,30240.0
1458,4,
1459,12,15888.0
1460,16,
1461,4,6696.0
1462,47,
1463,2,
1464,13,66828.0
1465,15,75937.0
1466,18,
1467,32,
1468,4,98064.0
1469,4,
1470,5,
1471,10,
1472,6,2508.0
1473,10,
1474,13,118919.0
1475,5,140000.0
1476,7,
1477,6,
1478,14,
1479,9,
1480,7,
1481,6,120000.0
1482,25,130000.0
1483,3,
1484,10,
1485,21,
1486,25,54480.0
1487,6,432.0
1488,25,89568.0
1489,13,81074.0
1490,18,115000.0
1491,7,
1492,5,38778.0
1493,12,57156.0
1494,15,133080.0
1495,10,
1496,4,
1497,8,
1498,25,
1499,13,
1500,11,150000.0
1501,4,
1502,10,45564.0
1503,4,70000.0
1504,16,130000.0
1505,20,52968.0
1506,25,77832.0
1507,9,25128.0
1508,7,
1509,30,
1510,15,85397.0
1511,16,123000.0
1512,12,97288.0
1513,19,105000.0
1514,16,267320.0
1515,10,
1516,12,3686.0
1517,4,
1518,18,55000.0
1519,11,275000.0
1520,20,
1521,5,
1522,15,
1523,3,
1524,15,110000.0
1525,13,90758.0
1527,30,69183.0
1528,14,
1529,8,9773.0
1530,2,
1531,15,32429.0
1532,30,
1533,10,240000.0
1534,34,82000.0
1535,12,
